winside,d_1,d_2,d_3,d_4,d_5,r_1,r_2,r_3,r_4,r_5
radiant,53,54,20,6,5,14,9,7,11,1
radiant,27,29,5,21,4,33,7,42,47,25
radiant,14,42,1,25,31,57,28,11,63,22
dire,69,67,32,14,54,7,1,35,47,41
dire,59,17,68,32,67,69,53,14,9,41
dire,59,17,68,32,67,69,53,14,9,41
radiant,53,54,20,6,5,14,9,7,11,1
dire,59,17,68,32,67,69,53,14,9,41
dire,2,27,8,45,4,32,21,41,60,59
dire,59,17,68,32,67,69,53,14,9,41
radiant,42,32,21,34,13,60,11,20,5,14
dire,25,31,8,42,49,29,54,7,15,5
radiant,49,47,22,40,53,42,67,26,27,37
radiant,21,41,26,17,14,53,6,39,67,16
dire,13,14,35,19,6,39,45,29,16,32
radiant,73,58,15,53,29,25,47,63,59,18
dire,7,21,39,40,60,14,22,42,17,1
dire,42,4,45,27,69,49,51,32,64,9
radiant,40,19,37,1,60,53,28,33,31,63
radiant,7,16,15,55,35,26,42,37,51,14
radiant,63,29,19,31,40,45,36,60,21,4
radiant,27,34,61,5,67,6,1,22,16,9
dire,4,39,58,60,16,19,15,28,36,59
radiant,34,4,35,6,49,32,5,60,54,68
radiant,69,58,53,39,14,4,22,54,35,21
dire,32,27,54,6,19,67,49,34,68,47
radiant,28,6,14,5,29,34,59,52,61,60
dire,37,11,60,28,42,1,40,54,25,14
radiant,53,20,39,47,59,41,36,1,14,9
dire,26,50,49,14,35,52,59,10,42,36
dire,40,29,49,5,15,14,67,26,54,32
dire,14,50,51,64,18,15,35,67,16,40
dire,35,4,34,59,15,1,2,25,32,42
dire,29,68,41,40,42,31,9,21,27,28
radiant,5,59,53,4,41,58,37,15,22,29
dire,8,53,73,14,61,45,7,11,58,49
radiant,32,7,19,53,30,42,37,68,9,16
radiant,40,59,16,34,21,37,6,41,9,11
dire,42,25,26,30,35,9,1,14,4,6
radiant,66,54,6,1,60,68,41,2,8,38
radiant,6,29,1,40,68,50,32,25,14,53
dire,30,1,32,34,7,45,4,42,14,11
dire,60,57,17,34,21,16,8,31,40,1
radiant,13,7,59,4,28,14,37,47,57,61
radiant,1,18,59,32,53,40,50,6,2,14
dire,60,49,20,59,50,11,4,26,25,63
radiant,53,9,29,40,63,14,47,17,54,30
radiant,16,67,26,40,39,35,59,36,14,41
radiant,41,23,68,51,42,29,9,55,25,35
radiant,15,7,25,67,6,22,54,2,40,32
dire,17,63,73,29,20,19,31,51,41,39
dire,32,18,6,14,21,26,20,22,7,17
radiant,69,39,6,2,68,1,26,23,64,31
radiant,42,25,6,9,19,59,68,15,35,50
radiant,52,18,31,49,9,35,17,20,16,41
radiant,47,54,58,14,40,41,57,31,21,20
radiant,10,22,39,40,38,1,47,42,7,26
radiant,39,30,1,50,21,9,7,68,41,20
dire,54,30,6,2,53,13,23,63,68,73
radiant,67,59,49,4,32,11,7,26,41,27
dire,59,42,68,16,20,26,5,1,31,39
radiant,9,5,29,33,25,14,20,22,13,1
radiant,51,9,52,60,4,41,54,68,53,17
dire,61,73,35,60,31,63,51,20,9,6
radiant,61,30,55,20,4,21,59,6,41,4
radiant,51,9,73,64,39,21,42,13,34,53
dire,9,34,23,20,14,25,53,59,6,2
radiant,13,20,69,7,6,11,17,22,54,68
radiant,54,47,42,21,67,14,53,60,9,57
radiant,6,29,10,54,15,13,59,39,9,8
dire,27,42,20,63,14,32,60,15,1,29
dire,30,47,54,7,61,58,8,6,1,14
radiant,18,63,68,36,30,19,20,32,39,2
dire,66,2,36,29,63,25,32,60,35,7
dire,54,61,25,9,1,30,8,49,32,65
radiant,6,29,10,54,15,13,59,39,9,8
radiant,9,52,7,65,73,5,41,47,68,8
radiant,35,30,49,13,54,41,17,60,21,7
dire,15,26,54,59,68,60,61,73,21,53
dire,15,26,54,59,68,60,61,73,21,53
dire,16,73,2,31,35,32,63,22,5,57
dire,17,25,28,16,6,10,39,32,73,53
dire,35,11,23,19,32,20,6,49,17,47
radiant,60,59,49,9,11,42,41,45,34,7
radiant,41,59,69,53,66,23,32,20,5,14
dire,5,8,30,69,47,6,31,4,49,65
dire,2,8,9,1,68,38,41,7,21,16
dire,63,22,69,60,1,6,7,36,50,42
dire,67,20,53,14,16,11,21,17,68,69
dire,57,10,54,42,26,28,8,47,14,40
dire,68,53,54,32,67,21,31,64,47,16
radiant,1,65,17,33,51,64,60,41,68,40
dire,6,23,61,33,21,68,50,73,16,10
radiant,61,23,9,67,21,54,57,68,60,1
radiant,26,53,16,6,22,52,18,54,9,14
dire,49,58,29,47,21,63,14,54,41,20
radiant,50,21,19,61,20,10,16,31,68,4
radiant,17,9,31,15,38,33,67,54,57,13
radiant,11,21,60,50,35,52,16,10,47,1
radiant,6,10,53,57,17,16,60,69,27,1
dire,11,7,9,31,50,54,29,13,21,36
radiant,59,19,4,21,26,2,47,30,50,18
dire,1,2,14,11,54,36,22,51,21,59
dire,10,27,35,22,59,8,6,1,11,7
dire,22,60,7,25,26,63,9,11,53,59
dire,58,50,7,40,27,15,26,30,20,49
dire,1,17,61,7,50,69,67,31,21,68
dire,4,19,33,42,6,67,21,25,18,17
radiant,51,20,26,61,14,5,35,54,1,4
dire,47,64,49,69,8,52,2,53,jag bajsa,25
radiant,53,1,73,17,32,4,21,35,49,25
dire,14,51,17,54,42,40,60,38,15,23
dire,55,28,20,29,36,63,1,5,7,37
dire,65,5,34,67,73,8,38,68,21,47
radiant,9,16,60,8,49,68,22,35,1,14
radiant,51,21,41,66,73,16,9,64,45,17
radiant,59,32,47,34,49,31,54,53,23,41
radiant,2,6,32,41,26,22,53,14,35,17
radiant,26,10,47,14,37,63,54,30,16,35
radiant,9,16,60,8,49,68,22,35,1,14
radiant,9,16,60,8,49,68,22,35,1,14
dire,35,29,42,32,31,49,63,45,54,9
radiant,6,60,27,7,32,4,50,49,54,40
radiant,23,21,26,32,47,63,51,perestroika!,5,65
radiant,36,40,59,26,49,42,33,9,20,15
